         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	       m_NaX	      m_CaX2	      m_MgX2	      la_NaX	     la_CaX2	     la_MgX2	
           2	      i_soln	           1	         -99	         -99	         -99	           7	           4	      25.000	  0.0000e+00	  0.0000e+00	  0.0000e+00	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	
           2	      i_exch	           1	         -99	         -99	         -99	           7	           4	      25.000	  5.5885e-04	  2.5639e-02	  4.0813e-03	 -2.0643e+00	 -2.0005e-01	 -9.9657e-01	
           2	       react	           1	         -99	           0	           1	           7	           4	      25.000	  5.5885e-04	  2.5639e-02	  4.0813e-03	 -2.0643e+00	 -2.0005e-01	 -9.9657e-01	
           2	       react	           1	         -99	           0	           2	     6.91279	   -0.931453	      30.000	  5.5033e-04	  2.5642e-02	  4.0825e-03	 -2.0712e+00	 -2.0108e-01	 -9.9751e-01	
           2	       react	           1	         -99	           0	           3	     6.83007	   -0.859051	      35.000	  5.4215e-04	  2.5645e-02	  4.0838e-03	 -2.0780e+00	 -2.0217e-01	 -9.9850e-01	
           2	       react	           1	         -99	           0	           4	      6.7515	   -0.789774	      40.000	  5.3428e-04	  2.5648e-02	  4.0849e-03	 -2.0847e+00	 -2.0332e-01	 -9.9956e-01	
           2	       react	           1	         -99	           0	           5	     6.67677	   -0.725561	      45.000	  5.2672e-04	  2.5651e-02	  4.0861e-03	 -2.0912e+00	 -2.0453e-01	 -1.0007e+00	
           2	       react	           1	         -99	           0	           6	     6.60558	   -0.663994	      50.000	  5.1944e-04	  2.5653e-02	  4.0872e-03	 -2.0976e+00	 -2.0579e-01	 -1.0018e+00	
           2	       react	           1	         -99	           0	           7	     6.53765	   -0.605226	      55.000	  5.1244e-04	  2.5656e-02	  4.0882e-03	 -2.1038e+00	 -2.0710e-01	 -1.0031e+00	
           2	       react	           1	         -99	           0	           8	     6.47272	   -0.547759	      60.000	  5.0569e-04	  2.5658e-02	  4.0892e-03	 -2.1099e+00	 -2.0848e-01	 -1.0044e+00	
           2	       react	           1	         -99	           0	           9	     6.41059	   -0.495116	      65.000	  4.9919e-04	  2.5660e-02	  4.0902e-03	 -2.1159e+00	 -2.0991e-01	 -1.0057e+00	
           2	       react	           1	         -99	           0	          10	     6.35103	   -0.442977	      70.000	  4.9292e-04	  2.5662e-02	  4.0912e-03	 -2.1218e+00	 -2.1139e-01	 -1.0071e+00	
           2	       react	           1	         -99	           0	          11	     6.29387	   -0.394047	      75.000	  4.8688e-04	  2.5664e-02	  4.0921e-03	 -2.1276e+00	 -2.1294e-01	 -1.0086e+00	
           2	       react	           1	         -99	           0	          12	     6.23892	   -0.346632	      80.000	  4.8104e-04	  2.5667e-02	  4.0929e-03	 -2.1332e+00	 -2.1454e-01	 -1.0101e+00	
           2	       react	           1	         -99	           0	          13	     6.18603	   -0.301182	      85.000	  4.7541e-04	  2.5669e-02	  4.0938e-03	 -2.1388e+00	 -2.1620e-01	 -1.0117e+00	
           2	       react	           1	         -99	           0	          14	     6.13505	   -0.258385	      90.000	  4.6997e-04	  2.5670e-02	  4.0946e-03	 -2.1442e+00	 -2.1792e-01	 -1.0133e+00	
