         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	       m_NaX	      m_CaX2	      m_MgX2	      la_NaX	     la_CaX2	     la_MgX2	
           1	      i_soln	           1	         -99	         -99	         -99	           7	           4	      25.000	  0.0000e+00	  0.0000e+00	  0.0000e+00	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	
           1	      i_exch	           1	         -99	         -99	         -99	           7	           4	      25.000	  5.5725e-04	  2.5635e-02	  4.0861e-03	 -2.0655e+00	 -2.0018e-01	 -9.9611e-01	
           1	       react	           1	         -99	           0	           1	           7	           4	      25.000	  5.5725e-04	  2.5635e-02	  4.0861e-03	 -2.0655e+00	 -2.0018e-01	 -9.9611e-01	
           1	       react	           1	         -99	           0	           2	       6.913	    -1.58965	      30.000	  5.4873e-04	  2.5638e-02	  4.0874e-03	 -2.0725e+00	 -2.0121e-01	 -9.9705e-01	
           1	       react	           1	         -99	           0	           3	     6.83045	    -1.39918	      35.000	  5.4055e-04	  2.5641e-02	  4.0887e-03	 -2.0793e+00	 -2.0231e-01	 -9.9804e-01	
           1	       react	           1	         -99	           0	           4	     6.75201	    -1.35949	      40.000	  5.3270e-04	  2.5644e-02	  4.0899e-03	 -2.0860e+00	 -2.0346e-01	 -9.9910e-01	
           1	       react	           1	         -99	           0	           5	     6.67738	    -1.31513	      45.000	  5.2514e-04	  2.5646e-02	  4.0910e-03	 -2.0925e+00	 -2.0466e-01	 -1.0002e+00	
           1	       react	           1	         -99	           0	           6	     6.60626	     -1.2649	      50.000	  5.1787e-04	  2.5649e-02	  4.0921e-03	 -2.0989e+00	 -2.0592e-01	 -1.0014e+00	
           1	       react	           1	         -99	           0	           7	     6.53838	       -1.21	      55.000	  5.1088e-04	  2.5651e-02	  4.0932e-03	 -2.1051e+00	 -2.0724e-01	 -1.0026e+00	
           1	       react	           1	         -99	           0	           8	      6.4735	    -1.15179	      60.000	  5.0414e-04	  2.5654e-02	  4.0942e-03	 -2.1113e+00	 -2.0862e-01	 -1.0039e+00	
           1	       react	           1	         -99	           0	           9	      6.4114	     -1.0913	      65.000	  4.9765e-04	  2.5656e-02	  4.0952e-03	 -2.1173e+00	 -2.1005e-01	 -1.0052e+00	
           1	       react	           1	         -99	           0	          10	     6.35186	    -1.03095	      70.000	  4.9139e-04	  2.5658e-02	  4.0961e-03	 -2.1232e+00	 -2.1154e-01	 -1.0067e+00	
           1	       react	           1	         -99	           0	          11	     6.29471	   -0.997356	      75.000	  4.8536e-04	  2.5660e-02	  4.0970e-03	 -2.1289e+00	 -2.1309e-01	 -1.0081e+00	
           1	       react	           1	         -99	           0	          12	     6.23976	   -0.941691	      80.000	  4.7954e-04	  2.5662e-02	  4.0979e-03	 -2.1346e+00	 -2.1470e-01	 -1.0096e+00	
           1	       react	           1	         -99	           0	          13	     6.18687	   -0.762142	      85.000	  4.7391e-04	  2.5664e-02	  4.0987e-03	 -2.1401e+00	 -2.1636e-01	 -1.0112e+00	
           1	       react	           1	         -99	           0	          14	     6.13588	   -0.714034	      90.000	  4.6849e-04	  2.5666e-02	  4.0996e-03	 -2.1456e+00	 -2.1808e-01	 -1.0129e+00	
