         sim	        time	        step	          pH	          pe	         Alk	      charge	     pct_err	          Ca	          Mg	          Na	          Cl	          Fe	        S(6)	       S(-2)	           C	  Pyrrhotite	d_Pyrrhotite	si_Chamosite(Daphnite)	si_Pyrrhotite	   si_Pyrite	si_Quartz(alpha)	si_Kaolinite	  si_Calcite	 si_Siderite	   k_Calcite	  dk_Calcite	k_Quartz(alpha)	dk_Quartz(alpha)	 k_Kaolinite	dk_Kaolinite	k_Chamosite(Daphnite)	dk_Chamosite(Daphnite)	  k_Siderite	 dk_Siderite	
           1	         -99	         -99	      7.1015	     -3.6887	   0.0239134	-4.16334e-17	-3.72241e-15	  7.8315e-03	  5.1655e-02	  5.0206e-01	  4.4430e-01	  6.1641e-08	  7.6412e-02	  3.1575e-03	  2.3491e-02	  0.0000e+00	  0.0000e+00	   -999.9990	     -0.3898	   -999.9990	   -999.9990	   -999.9990	      0.4544	     -2.8602	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	        3600	           1	      6.8207	    -3.35788	   0.0203171	 1.56353e-10	 1.40398e-08	  6.0329e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9367e-07	  7.6409e-02	  3.1430e-03	  2.1705e-02	  1.4028e-05	  1.4028e-05	    -18.4799	      0.0000	      9.8303	     -2.7745	     -1.4152	      0.0009	     -2.4150	  1.0180e-01	  1.7985e-03	  1.0000e+00	 -5.0725e-09	  1.0000e-01	 -1.6518e-08	  1.0000e-01	 -8.6409e-08	  9.9986e-02	 -1.3828e-05	  3.6000e+03	
           1	        7200	           2	     6.81985	    -3.35663	   0.0203141	 1.56354e-10	   1.404e-08	  6.0311e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9481e-07	  7.6409e-02	  3.1286e-03	  2.1717e-02	  2.8379e-05	  2.8379e-05	    -16.9896	      0.0000	      9.8295	     -2.4773	     -0.2300	      0.0000	     -2.4125	  1.0180e-01	  1.8003e-03	  1.0000e+00	 -1.0033e-08	  1.0000e-01	 -2.9277e-08	  1.0000e-01	 -1.7364e-07	  9.9972e-02	 -2.7744e-05	  7.2000e+03	
           1	       10800	           3	     6.81946	    -3.35592	   0.0203174	 1.56353e-10	 1.40399e-08	  6.0325e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9563e-07	  7.6409e-02	  3.1143e-03	  2.1733e-02	  4.2729e-05	  4.2729e-05	    -16.1845	     -0.0000	      9.8284	     -2.3154	      0.4043	     -0.0000	     -2.4101	  1.0180e-01	  1.7989e-03	  1.0000e+00	 -1.4983e-08	  1.0000e-01	 -2.9050e-08	  1.0000e-01	 -2.6088e-07	  9.9958e-02	 -4.1658e-05	  1.0800e+04	
           1	       14400	           4	     6.81909	    -3.35523	   0.0203211	 1.56352e-10	 1.40398e-08	  6.0341e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9644e-07	  7.6409e-02	  3.0999e-03	  2.1748e-02	  5.7076e-05	  5.7076e-05	    -15.6443	      0.0000	      9.8272	     -2.2062	      0.8262	     -0.0000	     -2.4076	  1.0180e-01	  1.7973e-03	  1.0000e+00	 -1.9925e-08	  1.0000e-01	 -1.8073e-08	  1.0000e-01	 -3.4814e-07	  9.9944e-02	 -5.5570e-05	  1.4400e+04	
           1	       18000	           5	     6.81873	    -3.35455	   0.0203247	 1.56353e-10	 1.40399e-08	  6.0357e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9725e-07	  7.6409e-02	  3.0856e-03	  2.1764e-02	  7.1421e-05	  7.1421e-05	    -15.2591	      0.0000	      9.8260	     -2.1273	      1.1233	     -0.0000	     -2.4052	  1.0180e-01	  1.7957e-03	  1.0000e+00	 -2.4860e-08	  1.0000e-01	  5.7051e-09	  1.0000e-01	 -4.3541e-07	  9.9931e-02	 -6.9480e-05	  1.8000e+04	
           1	       21600	           6	     6.81836	    -3.35386	   0.0203281	 1.56348e-10	 1.40394e-08	  6.0373e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9808e-07	  7.6409e-02	  3.0712e-03	  2.1779e-02	  8.5764e-05	  8.5764e-05	    -14.9721	      0.0000	      9.8248	     -2.0675	      1.3414	     -0.0000	     -2.4027	  1.0179e-01	  1.7941e-03	  1.0000e+00	 -2.9787e-08	  1.0000e-01	  4.1683e-08	  9.9999e-02	 -5.2268e-07	  9.9917e-02	 -8.3387e-05	  2.1600e+04	
           1	       25200	           7	       6.818	    -3.35318	   0.0203316	  1.5634e-10	 1.40387e-08	  6.0388e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9892e-07	  7.6409e-02	  3.0569e-03	  2.1795e-02	  1.0011e-04	  1.0011e-04	    -14.7508	      0.0000	      9.8236	     -2.0205	      1.5064	     -0.0000	     -2.4002	  1.0179e-01	  1.7925e-03	  1.0000e+00	 -3.4707e-08	  1.0000e-01	  8.8404e-08	  9.9999e-02	 -6.0998e-07	  9.9903e-02	 -9.7293e-05	  2.5200e+04	
           1	       28800	           8	     6.81764	    -3.35249	   0.0203349	 1.56342e-10	 1.40388e-08	  6.0404e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9977e-07	  7.6409e-02	  3.0426e-03	  2.1810e-02	  1.1444e-04	  1.1444e-04	    -14.5758	      0.0000	      9.8224	     -1.9823	      1.6339	     -0.0000	     -2.3978	  1.0179e-01	  1.7909e-03	  1.0000e+00	 -3.9622e-08	  1.0000e-01	  1.4432e-07	  9.9999e-02	 -6.9728e-07	  9.9889e-02	 -1.1120e-04	  2.8800e+04	
           1	       32400	           9	     6.81728	    -3.35181	   0.0203382	  1.5634e-10	 1.40386e-08	  6.0420e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0063e-07	  7.6409e-02	  3.0282e-03	  2.1826e-02	  1.2878e-04	  1.2878e-04	    -14.4346	      0.0000	      9.8212	     -1.9506	      1.7341	     -0.0000	     -2.3953	  1.0179e-01	  1.7894e-03	  1.0000e+00	 -4.4532e-08	  1.0000e-01	  2.0802e-07	  9.9999e-02	 -7.8459e-07	  9.9875e-02	 -1.2510e-04	  3.2400e+04	
           1	       36000	          10	     6.81692	    -3.35112	   0.0203414	 1.56343e-10	 1.40388e-08	  6.0435e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0150e-07	  7.6409e-02	  3.0139e-03	  2.1841e-02	  1.4311e-04	  1.4311e-04	    -14.3187	      0.0000	      9.8199	     -1.9238	      1.8138	     -0.0000	     -2.3928	  1.0179e-01	  1.7878e-03	  1.0000e+00	 -4.9436e-08	  1.0000e-01	  2.7824e-07	  9.9999e-02	 -8.7191e-07	  9.9861e-02	 -1.3899e-04	  3.6000e+04	
           1	       39600	          11	     6.81656	    -3.35044	   0.0203446	 1.56242e-10	 1.40298e-08	  6.0451e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0238e-07	  7.6409e-02	  2.9996e-03	  2.1857e-02	  1.5745e-04	  1.5745e-04	    -14.2224	      0.0000	      9.8187	     -1.9006	      1.8775	     -0.0000	     -2.3903	  1.0179e-01	  1.7862e-03	  1.0000e+00	 -5.4336e-08	  1.0000e-01	  3.5391e-07	  9.9999e-02	 -9.5925e-07	  9.9847e-02	 -1.5289e-04	  3.9600e+04	
           1	       43200	          12	      6.8162	    -3.34975	   0.0203478	 1.56343e-10	 1.40388e-08	  6.0467e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0327e-07	  7.6409e-02	  2.9852e-03	  2.1872e-02	  1.7178e-04	  1.7178e-04	    -14.1412	     -0.0000	      9.8175	     -1.8803	      1.9288	     -0.0000	     -2.3878	  1.0178e-01	  1.7847e-03	  1.0000e+00	 -5.9232e-08	  1.0000e-01	  4.3412e-07	  9.9999e-02	 -1.0466e-06	  9.9833e-02	 -1.6678e-04	  4.3200e+04	
           1	       46800	          13	     6.81584	    -3.34906	   0.0203509	 1.56342e-10	 1.40387e-08	  6.0482e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0418e-07	  7.6409e-02	  2.9709e-03	  2.1888e-02	  1.8610e-04	  1.8610e-04	    -14.0722	      0.0000	      9.8162	     -1.8622	      1.9703	     -0.0000	     -2.3852	  1.0178e-01	  1.7831e-03	  1.0000e+00	 -6.4123e-08	  1.0000e-01	  5.1809e-07	  9.9999e-02	 -1.1340e-06	  9.9819e-02	 -1.8068e-04	  4.6800e+04	
           1	       50400	          14	     6.81548	    -3.34837	    0.020354	 1.56337e-10	 1.40382e-08	  6.0498e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0510e-07	  7.6409e-02	  2.9566e-03	  2.1903e-02	  2.0043e-04	  2.0043e-04	    -14.0128	      0.0000	      9.8150	     -1.8459	      2.0038	     -0.0000	     -2.3827	  1.0178e-01	  1.7816e-03	  1.0000e+00	 -6.9010e-08	  1.0000e-01	  6.0518e-07	  9.9999e-02	 -1.2213e-06	  9.9805e-02	 -1.9457e-04	  5.0400e+04	
           1	       54000	          15	     6.81512	    -3.34768	   0.0203571	 1.56334e-10	  1.4038e-08	  6.0513e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0603e-07	  7.6409e-02	  2.9423e-03	  2.1918e-02	  2.1475e-04	  2.1475e-04	    -13.9613	      0.0000	      9.8137	     -1.8311	      2.0308	     -0.0000	     -2.3802	  1.0178e-01	  1.7800e-03	  1.0000e+00	 -7.3894e-08	  1.0000e-01	  6.9481e-07	  9.9999e-02	 -1.3087e-06	  9.9792e-02	 -2.0845e-04	  5.4000e+04	
           1	       57600	          16	     6.81476	    -3.34699	   0.0203602	 1.56334e-10	 1.40379e-08	  6.0529e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0697e-07	  7.6409e-02	  2.9280e-03	  2.1934e-02	  2.2907e-04	  2.2907e-04	    -13.9162	      0.0000	      9.8124	     -1.8174	      2.0525	     -0.0000	     -2.3776	  1.0178e-01	  1.7785e-03	  1.0000e+00	 -7.8774e-08	  1.0000e-01	  7.8654e-07	  9.9999e-02	 -1.3961e-06	  9.9778e-02	 -2.2234e-04	  5.7600e+04	
           1	       61200	          17	      6.8144	     -3.3463	   0.0203633	 1.56332e-10	 1.40377e-08	  6.0545e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0793e-07	  7.6409e-02	  2.9136e-03	  2.1949e-02	  2.4339e-04	  2.4339e-04	    -13.8764	      0.0000	      9.8111	     -1.8046	      2.0699	     -0.0000	     -2.3751	  1.0178e-01	  1.7769e-03	  1.0000e+00	 -8.3650e-08	  1.0000e-01	  8.7997e-07	  9.9999e-02	 -1.4835e-06	  9.9764e-02	 -2.3622e-04	  6.1200e+04	
           1	       64800	          18	     6.81404	    -3.34561	   0.0203663	 1.56334e-10	 1.40379e-08	  6.0560e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0890e-07	  7.6409e-02	  2.8993e-03	  2.1965e-02	  2.5771e-04	  2.5771e-04	    -13.8408	      0.0000	      9.8099	     -1.7927	      2.0837	     -0.0000	     -2.3725	  1.0178e-01	  1.7753e-03	  1.0000e+00	 -8.8523e-08	  1.0000e-01	  9.7476e-07	  9.9998e-02	 -1.5709e-06	  9.9750e-02	 -2.5010e-04	  6.4800e+04	
           1	       68400	          19	     6.81368	    -3.34492	   0.0203694	 1.56334e-10	 1.40378e-08	  6.0576e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0988e-07	  7.6409e-02	  2.8850e-03	  2.1980e-02	  2.7202e-04	  2.7202e-04	    -13.8089	      0.0000	      9.8086	     -1.7813	      2.0945	     -0.0000	     -2.3699	  1.0177e-01	  1.7738e-03	  1.0000e+00	 -9.3393e-08	  1.0000e-01	  1.0706e-06	  9.9998e-02	 -1.6583e-06	  9.9736e-02	 -2.6398e-04	  6.8400e+04	
           1	       72000	          20	     6.81333	    -3.34422	   0.0203725	 1.56335e-10	 1.40379e-08	  6.0591e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.1087e-07	  7.6409e-02	  2.8707e-03	  2.1996e-02	  2.8633e-04	  2.8633e-04	    -13.7799	     -0.0000	      9.8072	     -1.7705	      2.1028	     -0.0000	     -2.3673	  1.0177e-01	  1.7722e-03	  1.0000e+00	 -9.8259e-08	  1.0000e-01	  1.1673e-06	  9.9998e-02	 -1.7458e-06	  9.9722e-02	 -2.7785e-04	  7.2000e+04	
           1	       75600	          21	     6.81297	    -3.34353	   0.0203756	 1.56331e-10	 1.40375e-08	  6.0607e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.1188e-07	  7.6409e-02	  2.8564e-03	  2.2011e-02	  3.0064e-04	  3.0064e-04	    -13.7533	     -0.0000	      9.8059	     -1.7602	      2.1090	     -0.0000	     -2.3647	  1.0177e-01	  1.7707e-03	  1.0000e+00	 -1.0312e-07	  1.0000e-01	  1.2647e-06	  9.9998e-02	 -1.8332e-06	  9.9708e-02	 -2.9173e-04	  7.5600e+04	
           1	       79200	          22	     6.81261	    -3.34283	   0.0203786	 1.56333e-10	 1.40377e-08	  6.0622e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.1290e-07	  7.6409e-02	  2.8421e-03	  2.2026e-02	  3.1495e-04	  3.1495e-04	    -13.7289	      0.0000	      9.8046	     -1.7502	      2.1135	     -0.0000	     -2.3621	  1.0177e-01	  1.7691e-03	  1.0000e+00	 -1.0798e-07	  1.0000e-01	  1.3625e-06	  9.9998e-02	 -1.9207e-06	  9.9694e-02	 -3.0560e-04	  7.9200e+04	
           1	       82800	          23	     6.81225	    -3.34213	   0.0203817	 1.56327e-10	 1.40371e-08	  6.0638e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.1394e-07	  7.6409e-02	  2.8278e-03	  2.2042e-02	  3.2926e-04	  3.2926e-04	    -13.7061	      0.0000	      9.8033	     -1.7405	      2.1165	     -0.0000	     -2.3595	  1.0177e-01	  1.7675e-03	  1.0000e+00	 -1.1284e-07	  1.0000e-01	  1.4607e-06	  9.9998e-02	 -2.0082e-06	  9.9681e-02	 -3.1947e-04	  8.2800e+04	
           1	       86400	          24	      6.8119	    -3.34143	   0.0203847	 1.56333e-10	 1.40376e-08	  6.0654e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.1499e-07	  7.6409e-02	  2.8135e-03	  2.2057e-02	  3.4356e-04	  3.4356e-04	    -13.6847	      0.0000	      9.8019	     -1.7311	      2.1184	     -0.0000	     -2.3569	  1.0177e-01	  1.7660e-03	  1.0000e+00	 -1.1769e-07	  1.0000e-01	  1.5591e-06	  9.9998e-02	 -2.0956e-06	  9.9667e-02	 -3.3333e-04	  8.6400e+04	
           1	       90000	          25	     6.81154	    -3.34073	   0.0203878	  1.5633e-10	 1.40373e-08	  6.0669e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.1606e-07	  7.6409e-02	  2.7992e-03	  2.2073e-02	  3.5786e-04	  3.5786e-04	    -13.6645	     -0.0000	      9.8006	     -1.7219	      2.1192	     -0.0000	     -2.3542	  1.0176e-01	  1.7644e-03	  1.0000e+00	 -1.2254e-07	  1.0000e-01	  1.6576e-06	  9.9998e-02	 -2.1831e-06	  9.9653e-02	 -3.4720e-04	  9.0000e+04	
           1	       93600	          26	     6.81118	    -3.34003	   0.0203909	 1.56328e-10	 1.40371e-08	  6.0685e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.1714e-07	  7.6409e-02	  2.7849e-03	  2.2088e-02	  3.7216e-04	  3.7216e-04	    -13.6452	      0.0000	      9.7992	     -1.7129	      2.1193	     -0.0000	     -2.3516	  1.0176e-01	  1.7628e-03	  1.0000e+00	 -1.2739e-07	  1.0000e-01	  1.7562e-06	  9.9998e-02	 -2.2706e-06	  9.9639e-02	 -3.6106e-04	  9.3600e+04	
           1	       97200	          27	     6.81083	    -3.33933	    0.020394	 1.56329e-10	 1.40372e-08	  6.0701e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.1823e-07	  7.6409e-02	  2.7706e-03	  2.2104e-02	  3.8645e-04	  3.8645e-04	    -13.6268	     -0.0000	      9.7979	     -1.7040	      2.1186	     -0.0000	     -2.3489	  1.0176e-01	  1.7613e-03	  1.0000e+00	 -1.3223e-07	  1.0000e-01	  1.8547e-06	  9.9998e-02	 -2.3582e-06	  9.9625e-02	 -3.7492e-04	  9.7200e+04	
           1	      100800	          28	     6.81047	    -3.33862	    0.020397	 1.56336e-10	 1.40378e-08	  6.0717e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.1934e-07	  7.6409e-02	  2.7563e-03	  2.2119e-02	  4.0075e-04	  4.0075e-04	    -13.6090	      0.0000	      9.7965	     -1.6954	      2.1174	     -0.0000	     -2.3462	  1.0176e-01	  1.7597e-03	  1.0000e+00	 -1.3707e-07	  1.0000e-01	  1.9532e-06	  9.9998e-02	 -2.4457e-06	  9.9611e-02	 -3.8878e-04	  1.0080e+05	
           1	      104400	          29	     6.81011	    -3.33792	   0.0204001	 1.56332e-10	 1.40374e-08	  6.0732e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.2047e-07	  7.6409e-02	  2.7420e-03	  2.2134e-02	  4.1504e-04	  4.1504e-04	    -13.5917	      0.0000	      9.7951	     -1.6868	      2.1158	     -0.0000	     -2.3435	  1.0176e-01	  1.7581e-03	  1.0000e+00	 -1.4191e-07	  1.0000e-01	  2.0515e-06	  9.9997e-02	 -2.5332e-06	  9.9597e-02	 -4.0263e-04	  1.0440e+05	
           1	      108000	          30	     6.80976	    -3.33721	   0.0204032	 1.56325e-10	 1.40368e-08	  6.0748e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.2161e-07	  7.6409e-02	  2.7277e-03	  2.2150e-02	  4.2933e-04	  4.2933e-04	    -13.5748	      0.0000	      9.7937	     -1.6784	      2.1138	     -0.0000	     -2.3408	  1.0176e-01	  1.7565e-03	  1.0000e+00	 -1.4674e-07	  1.0000e-01	  2.1496e-06	  9.9997e-02	 -2.6208e-06	  9.9584e-02	 -4.1648e-04	  1.0800e+05	
           1	      111600	          31	      6.8094	    -3.33651	   0.0204063	 1.56328e-10	  1.4037e-08	  6.0764e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.2277e-07	  7.6409e-02	  2.7134e-03	  2.2165e-02	  4.4361e-04	  4.4361e-04	    -13.5583	      0.0000	      9.7923	     -1.6701	      2.1115	     -0.0000	     -2.3381	  1.0175e-01	  1.7550e-03	  1.0000e+00	 -1.5157e-07	  1.0000e-01	  2.2476e-06	  9.9997e-02	 -2.7083e-06	  9.9570e-02	 -4.3033e-04	  1.1160e+05	
           1	      115200	          32	     6.80905	     -3.3358	   0.0204094	 1.56327e-10	 1.40369e-08	  6.0780e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.2394e-07	  7.6409e-02	  2.6992e-03	  2.2181e-02	  4.5790e-04	  4.5790e-04	    -13.5420	      0.0000	      9.7909	     -1.6619	      2.1090	     -0.0000	     -2.3354	  1.0175e-01	  1.7534e-03	  1.0000e+00	 -1.5640e-07	  1.0000e-01	  2.3453e-06	  9.9997e-02	 -2.7959e-06	  9.9556e-02	 -4.4418e-04	  1.1520e+05	
           1	      118800	          33	     6.80869	    -3.33509	   0.0204125	 1.56328e-10	  1.4037e-08	  6.0795e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.2513e-07	  7.6409e-02	  2.6849e-03	  2.2196e-02	  4.7218e-04	  4.7218e-04	    -13.5259	     -0.0000	      9.7895	     -1.6538	      2.1064	     -0.0000	     -2.3327	  1.0175e-01	  1.7518e-03	  1.0000e+00	 -1.6123e-07	  1.0000e-01	  2.4429e-06	  9.9997e-02	 -2.8835e-06	  9.9542e-02	 -4.5803e-04	  1.1880e+05	
           1	      122400	          34	     6.80833	    -3.33438	   0.0204156	 1.56325e-10	 1.40366e-08	  6.0811e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.2634e-07	  7.6409e-02	  2.6706e-03	  2.2212e-02	  4.8646e-04	  4.8646e-04	    -13.5100	      0.0000	      9.7881	     -1.6458	      2.1036	     -0.0000	     -2.3299	  1.0175e-01	  1.7502e-03	  1.0000e+00	 -1.6605e-07	  1.0000e-01	  2.5401e-06	  9.9997e-02	 -2.9711e-06	  9.9528e-02	 -4.7187e-04	  1.2240e+05	
           1	      126000	          35	     6.80798	    -3.33366	   0.0204187	 1.56326e-10	 1.40367e-08	  6.0827e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.2757e-07	  7.6409e-02	  2.6563e-03	  2.2227e-02	  5.0074e-04	  5.0074e-04	    -13.4942	      0.0000	      9.7867	     -1.6379	      2.1008	     -0.0000	     -2.3272	  1.0175e-01	  1.7486e-03	  1.0000e+00	 -1.7087e-07	  1.0000e-01	  2.6371e-06	  9.9997e-02	 -3.0587e-06	  9.9514e-02	 -4.8571e-04	  1.2600e+05	
           1	      129600	          36	     6.80762	    -3.33295	   0.0204218	 1.56323e-10	 1.40364e-08	  6.0843e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.2881e-07	  7.6409e-02	  2.6421e-03	  2.2242e-02	  5.1501e-04	  5.1501e-04	    -13.4784	      0.0000	      9.7852	     -1.6301	      2.0979	     -0.0000	     -2.3244	  1.0175e-01	  1.7471e-03	  1.0000e+00	 -1.7568e-07	  1.0000e-01	  2.7339e-06	  9.9997e-02	 -3.1463e-06	  9.9500e-02	 -4.9955e-04	  1.2960e+05	
           1	      133200	          37	     6.80727	    -3.33223	    0.020425	 1.56322e-10	 1.40363e-08	  6.0859e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.3007e-07	  7.6409e-02	  2.6278e-03	  2.2258e-02	  5.2929e-04	  5.2929e-04	    -13.4627	      0.0000	      9.7838	     -1.6223	      2.0950	     -0.0000	     -2.3216	  1.0175e-01	  1.7455e-03	  1.0000e+00	 -1.8049e-07	  1.0000e-01	  2.8304e-06	  9.9997e-02	 -3.2339e-06	  9.9487e-02	 -5.1339e-04	  1.3320e+05	
           1	      136800	          38	     6.80691	    -3.33152	   0.0204281	 1.55999e-10	 1.40073e-08	  6.0875e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.3134e-07	  7.6409e-02	  2.6135e-03	  2.2273e-02	  5.4356e-04	  5.4356e-04	    -13.4470	      0.0000	      9.7823	     -1.6146	      2.0921	     -0.0000	     -2.3188	  1.0174e-01	  1.7439e-03	  1.0000e+00	 -1.8530e-07	  1.0000e-01	  2.9267e-06	  9.9997e-02	 -3.3216e-06	  9.9473e-02	 -5.2722e-04	  1.3680e+05	
           1	      140400	          39	     6.80656	     -3.3308	   0.0204312	 1.56322e-10	 1.40362e-08	  6.0890e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.3264e-07	  7.6409e-02	  2.5993e-03	  2.2289e-02	  5.5783e-04	  5.5783e-04	    -13.4313	     -0.0000	      9.7808	     -1.6070	      2.0892	     -0.0000	     -2.3160	  1.0174e-01	  1.7423e-03	  1.0000e+00	 -1.9010e-07	  1.0000e-01	  3.0227e-06	  9.9997e-02	 -3.4092e-06	  9.9459e-02	 -5.4105e-04	  1.4040e+05	
           1	      144000	          40	      6.8062	    -3.33008	   0.0204343	 1.56319e-10	  1.4036e-08	  6.0906e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.3395e-07	  7.6409e-02	  2.5850e-03	  2.2304e-02	  5.7209e-04	  5.7209e-04	    -13.4155	      0.0000	      9.7794	     -1.5995	      2.0864	     -0.0000	     -2.3132	  1.0174e-01	  1.7407e-03	  1.0000e+00	 -1.9490e-07	  1.0000e-01	  3.1184e-06	  9.9997e-02	 -3.4969e-06	  9.9445e-02	 -5.5488e-04	  1.4400e+05	
           1	      147600	          41	     6.80585	    -3.32936	   0.0204375	 1.56323e-10	 1.40363e-08	  6.0922e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.3528e-07	  7.6409e-02	  2.5707e-03	  2.2320e-02	  5.8636e-04	  5.8636e-04	    -13.3997	     -0.0000	      9.7779	     -1.5921	      2.0837	     -0.0000	     -2.3104	  1.0174e-01	  1.7391e-03	  1.0000e+00	 -1.9970e-07	  1.0000e-01	  3.2139e-06	  9.9996e-02	 -3.5846e-06	  9.9431e-02	 -5.6871e-04	  1.4760e+05	
           1	      151200	          42	      6.8055	    -3.32863	   0.0204406	 1.56322e-10	 1.40362e-08	  6.0938e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.3663e-07	  7.6409e-02	  2.5565e-03	  2.2335e-02	  6.0062e-04	  6.0062e-04	    -13.3839	      0.0000	      9.7764	     -1.5847	      2.0810	     -0.0000	     -2.3076	  1.0174e-01	  1.7375e-03	  1.0000e+00	 -2.0450e-07	  1.0000e-01	  3.3092e-06	  9.9996e-02	 -3.6723e-06	  9.9417e-02	 -5.8253e-04	  1.5120e+05	
           1	      154800	          43	     6.80514	    -3.32791	   0.0204438	 1.56318e-10	 1.40358e-08	  6.0954e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.3801e-07	  7.6409e-02	  2.5422e-03	  2.2350e-02	  6.1488e-04	  6.1488e-04	    -13.3680	      0.0000	      9.7748	     -1.5774	      2.0783	     -0.0000	     -2.3047	  1.0174e-01	  1.7359e-03	  1.0000e+00	 -2.0929e-07	  1.0000e-01	  3.4042e-06	  9.9996e-02	 -3.7600e-06	  9.9404e-02	 -5.9635e-04	  1.5480e+05	
           1	      158400	          44	     6.80479	    -3.32718	   0.0204469	 1.56316e-10	 1.40356e-08	  6.0970e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.3940e-07	  7.6409e-02	  2.5280e-03	  2.2366e-02	  6.2913e-04	  6.2913e-04	    -13.3520	     -0.0000	      9.7733	     -1.5702	      2.0758	     -0.0000	     -2.3018	  1.0173e-01	  1.7343e-03	  1.0000e+00	 -2.1408e-07	  1.0000e-01	  3.4990e-06	  9.9996e-02	 -3.8477e-06	  9.9390e-02	 -6.1017e-04	  1.5840e+05	
           1	      162000	          45	     6.80443	    -3.32646	   0.0204501	 1.56314e-10	 1.40354e-08	  6.0986e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.4081e-07	  7.6409e-02	  2.5137e-03	  2.2381e-02	  6.4339e-04	  6.4339e-04	    -13.3359	      0.0000	      9.7718	     -1.5631	      2.0733	     -0.0000	     -2.2989	  1.0173e-01	  1.7327e-03	  1.0000e+00	 -2.1886e-07	  1.0000e-01	  3.5935e-06	  9.9996e-02	 -3.9354e-06	  9.9376e-02	 -6.2399e-04	  1.6200e+05	
           1	      165600	          46	     6.80408	    -3.32573	   0.0204533	 1.56314e-10	 1.40354e-08	  6.1002e-03	  5.1654e-02	  5.0205e-01	  4.4428e-01	  3.4224e-07	  7.6409e-02	  2.4995e-03	  2.2397e-02	  6.5764e-04	  6.5764e-04	    -13.3198	      0.0000	      9.7703	     -1.5560	      2.0709	     -0.0000	     -2.2961	  1.0173e-01	  1.7311e-03	  1.0000e+00	 -2.2364e-07	  1.0000e-01	  3.6879e-06	  9.9996e-02	 -4.0231e-06	  9.9362e-02	 -6.3781e-04	  1.6560e+05	
